Team 1,Team 2,Bwin Home Odds,Bwin Draw Odds,Bwin Away Odds,Netbet Home Odds,Netbet Draw Odds,Netbet Away Odds,Unibet Home Odds,Unibet Draw Odds,Unibet Away Odds
CA Osasuna,Atletico Madrid,4.0,3.3,2.0,3.02,3.29,2.15,4.10,3.60,1.96
Genoa CFC,AS Roma,2.0,3.25,3.6,,,,,,
CA Boca Juniors,SE Palmeiras SP,2.9,2.75,2.75,2.87,2.78,2.76,2.85,2.95,2.75
CF Estrela da Amadora,SC Braga,4.2,3.9,1.74,4.33,3.92,1.71,,,
Casa Pia AC,CD Nacional Madeira,1.71,3.7,4.6,1.66,3.57,4.60,,,
Asteras Tripolis,Panathinaikos Athens,36.0,6.5,1.12,,,,,,
AEK Athens,Atromitos Athinon,1.05,11.0,41.0,,,,,,
AZ Alkmaar,Heracles Almelo,1.05,10.5,36.0,,,,,,
Club Brugge,KRC Genk,1.83,3.6,3.75,,,,,,
Stade Lausanne Ouchy,Yverdon-Sport,2.3,2.75,3.0,,,,,,
Atlas FC,Puebla FC,1.62,3.9,5.0,,,,1.64,3.65,5.25
Lech Poznan,RKS Rakow Czestochowa,1.27,4.2,11.0,,,,,,
Olimpija Ljubljana,NK Koper,4.6,3.1,1.67,,,,,,
Leeds United U21,OGC Nice U21,1.57,3.1,5.75,,,,,,
PSV Wesel-Lackhausen 1928,TVD Velbert 1870,23.0,5.25,1.15,,,,,,
CA Talleres de Cordoba Reserves,CA River Plate Reserves,2.05,3.4,3.0,2.18,3.41,2.87,2.05,3.25,3.25
Mirassol FC SP,CR Brasil AL,1.71,3.1,5.25,,,,,,
Londrina EC PR,Sampaio Correa FC MA,2.45,2.75,3.1,2.55,2.78,3.14,2.43,2.90,3.00
AA Portuguesa RJ,Serrano FC RJ,1.36,4.6,6.25,1.37,4.50,6.90,,,
NACIONAL FC UBERABA MG,EC Mamore MG,3.9,3.1,1.8,,,,,,
AA Guarany SE,AD Carmopolis SE,3.4,2.4,2.3,,,,,,
AD Cabofriense RJ U20,Sampaio Correa FE RJ U20,2.25,2.38,3.7,,,,,,
Dunbeholden FC,Cibao FC,2.4,2.95,2.7,2.40,2.81,3.05,,,
CS Cartagines,LD Alajuelense,3.2,3.4,1.91,3.40,3.56,1.91,,,
Cucuta Deportivo FC,Independiente Medellin,3.3,3.1,2.0,3.72,2.99,2.01,3.70,3.10,2.07
Millonarios FC,CD Alianza Petrolera,1.15,6.0,14.0,1.17,5.70,14.00,1.19,6.10,14.00
Club Guarani Asuncion,Guairena FC,1.57,3.7,4.5,1.70,3.73,4.10,,,
SS Murata,FC Domagnano,1.09,8.75,17.0,1.11,7.30,17.00,,,
SS Folgore Falciano Calcio,SS Pennarossa,1.83,3.4,3.5,1.86,3.38,3.74,,,
FC HaMakhtesh Givatayim,Hakoah Amidar Ramat Gan FC,7.0,3.1,1.5,,,,,,
Manta FC,Chacaritas FC,1.69,3.3,4.4,1.68,3.38,4.80,1.60,3.50,5.00
St Joseph`s FC,Lincoln Red Imps,3.4,3.7,1.74,,,,,,
Bea Mountain,Watanga FC,2.45,2.4,3.1,,,,,,
Budapest Honved FC,Budafoki MTE,1.2,4.6,15.0,,,,,,
Union Comercio,Em Deportivo Binacional,1.61,3.0,5.75,,,,,,
CD Universidad Cesar Vallejo,Universitario de Deportes,3.75,3.1,1.87,4.10,2.94,1.95,4.25,3.10,1.95
Alianza Lima,FBC Melgar,2.2,2.95,3.1,2.27,2.69,3.45,2.20,2.90,3.65
Wisla Krakow,KS Lechia Gdansk,1.77,3.4,3.6,,,,,,
FC Botosani,Rapid Bucuresti 1923,19.0,8.0,1.09,,,,,,
IA/Kari/Skallagrimur/Vikingur Olafsvík U19,Afturelding/Hviti U19,1.83,4.2,2.75,,,,,,
Fjolnir/ Vængir U19,Throttur/SR U19,2.0,4.33,2.55,,,,,,
Moss U19,Asker U19,15.5,4.33,1.22,,,,,,
KFUM U19,FK Lyn U19,2.4,3.2,2.4,,,,,,
Nordstrand IF U19,Kongsvinger IL U19,5.5,3.9,1.44,,,,,,
Brumunddal U19,Lillehammer FK U19,1.33,4.6,6.5,,,,,,
Santa Tecla FC U20,Jocoro FC U20,1.15,6.25,12.5,,,,,,
Fram Reykjavik,Keflavik IF,1.83,3.7,3.5,1.77,3.93,3.57,1.90,3.85,3.50
Vikingur Reykjavik,FH Hafnarfjordur,1.57,4.2,4.5,1.54,4.33,4.60,1.50,4.35,5.25
Valur Reykjavik,Breidablik Kopavogur,2.65,3.9,2.15,2.76,3.93,2.07,2.70,4.20,2.15
Stjarnan Gardabae,KR Reykjavik,1.83,3.8,3.4,1.80,3.94,3.45,1.91,3.90,3.35
HK Kopavogur,Fylkir Reykjavik,2.4,3.75,2.38,2.45,3.53,2.45,,,
FC Barcelona,Sevilla FC,1.36,5.25,8.0,1.34,5.30,8.30,1.37,5.50,8.50
TSG Hoffenheim,Borussia Dortmund,2.9,4.0,2.15,3.02,4.10,2.09,3.00,4.10,2.14
RC Strasbourg Alsace,RC Lens,3.2,3.3,2.25,3.28,3.29,2.24,,,
Benfica Lisbon,FC Porto,2.05,3.5,3.4,,,,,,
Samsunspor,Gaziantep FK,1.95,3.6,3.5,,,,1.98,3.50,3.50
KV Kortrijk,Cercle Brugge,4.4,4.2,1.69,,,,4.70,4.10,1.68
Sheffield Wednesday,Sunderland,2.95,3.4,2.3,,,,3.20,3.30,2.35
CD Leganes,Racing Santander,2.15,3.0,3.3,,,,2.18,3.10,3.55
Hamburger SV,Fortuna Dusseldorf,1.95,4.0,3.4,,,,2.04,3.90,3.15
SC Paderborn 07,Schalke 04,2.2,3.8,2.9,,,,2.12,4.00,2.95
Queretaro FC,Club Leon,3.3,3.4,2.1,3.38,3.26,2.01,,,
Atletico San Luis,Cruz Azul,2.2,3.5,3.0,2.13,3.33,3.02,,,
Club Tijuana de Caliente,FC Juarez,2.15,3.5,3.1,,,,,,
FKS Stal Mielec,Korona Kielce,2.45,3.4,2.7,2.43,3.20,2.67,2.50,3.35,2.75
GKS Piast Gliwice,Widzew Lodz,1.57,3.9,5.75,,,,1.60,3.95,5.25
FK Vojvodina Novi Sad,FK IMT Novi Beograd,1.53,3.9,4.8,,,,,,
Cangzhou Mighty Lions,Meizhou Hakka FC,2.3,3.6,2.6,2.30,3.59,2.58,2.40,3.65,2.60
Shandong Taishan,Wuhan Three Towns FC,1.57,4.0,4.8,1.56,3.96,4.80,1.55,4.35,5.00
Shenzhen FC,Changchun Yatai,11.5,7.0,1.18,11.00,6.60,1.17,12.50,8.00,1.15
Tianjin Jinmen Tiger,Chengdu Rongcheng FC,3.25,3.3,2.05,3.16,3.34,2.06,,,
Nantong Zhiyun FC,Shanghai Port FC,5.5,4.2,1.48,5.40,4.30,1.47,5.75,4.20,1.50
Kawasaki Frontale,Niigata Albirex,1.74,3.75,4.33,1.74,3.75,4.40,1.73,3.65,4.35
Yokohama Marinos,Vissel Kobe,2.05,3.9,3.0,2.11,3.66,3.09,2.12,3.50,3.10
Urawa Red Diamonds,Yokohama FC,1.48,4.33,6.25,1.45,4.40,5.80,1.50,4.10,6.20
Hokkaido Consadole Sapporo,Kashiwa Reysol,1.95,3.7,3.4,1.94,3.72,3.32,,,
Avispa Fukuoka,Kashima Antlers,3.0,3.0,2.4,3.26,2.92,2.38,,,
Pohang Steelers FC,Ulsan Hyundai FC,2.3,3.4,2.88,2.32,3.09,2.75,,,
Suwon FC,FC Seoul,3.4,3.7,2.0,3.53,3.58,1.86,,,
Otelul Galati,FC Dinamo 1948 Bucuresti,2.25,3.1,3.1,,,,2.30,3.05,3.25
AC Oulu,FC KTP Kotka,1.95,3.75,3.4,,,,2.00,3.65,3.40
VPS Vaasa,FC Inter Turku,1.83,3.75,3.9,,,,1.80,3.70,4.10
MSK Zilina,MFK Skalica,1.61,3.8,4.8,1.58,3.96,5.40,,,
Jaguares de Cordoba,CD Junior FC,3.2,3.0,2.2,,,,,,
CD Tolima,Boyaca Chico FC,1.57,3.7,5.25,,,,,,
Sportivo Trinidense,General Caballero JLM,2.0,3.25,3.1,,,,,,
Arminia Bielefeld,1. FC Saarbrucken,2.65,3.5,2.45,,,,2.50,3.40,2.45
US Pergolettese 1932,Aurora Pro Patria,2.1,3.0,3.2,,,,,,
US Alessandria Calcio 1912,Ssd Pro Sesto,2.3,2.95,2.88,,,,,,
US Triestina Calcio 1918,Mantova 1911,2.1,3.0,3.1,,,,,,
Virtus Vecomp Verona,Novara FC,1.77,3.3,4.0,,,,,,
FC Rouen,FC Martigues,2.3,3.1,2.7,,,,2.20,3.30,2.80
Le Mans FC,FC Sochaux,1.91,3.2,3.4,,,,1.85,3.25,3.75
Stade Olympique Choletais,Nimes Olympique,2.05,3.1,3.2,,,,,,
Marignane Gignac,Epinal,2.2,3.0,3.0,,,,2.25,3.10,2.90
Nancy-Lorraine,FC Versailles 78,2.2,3.0,3.0,,,,,,
US Avranches,Grand Ouest Association Lyonnaise GOAL FC,1.95,3.2,3.3,,,,,,
Chamois Niort FC,Dijon FCO,2.6,3.1,2.38,,,,,,
FC Villefranche-Beaujolais,US Orleans,2.05,3.1,3.1,,,,,,
Derry City FC,University College Dublin,1.07,12.0,23.0,,,,,,
Bohemian FC Dublin,Sligo Rovers FC,1.74,3.6,4.1,,,,1.70,3.80,4.40
Cork City FC,St Patrick's Athletic,3.6,3.6,1.87,,,,3.90,3.50,1.85
Dundalk FC,Drogheda United FC,1.62,3.8,4.4,,,,1.65,3.90,4.70
Shamrock Rovers,Shelbourne FC,1.67,3.4,5.0,,,,1.65,3.60,5.20
BFC Daugavpils,FK Metta / Lu,2.25,3.1,2.8,2.27,3.16,2.92,,,
FC Hegelmann Litauen Kaunas,FK Banga Gargzdai,1.36,4.33,6.25,,,,,,
Northeast United FC,Chennaiyin FC,4.1,4.0,1.65,3.79,4.30,1.66,4.00,4.50,1.67
Moroka Swallows FC,AmaZulu Durban,2.25,2.85,3.3,,,,,,
Al-Shamal,Umm-Salal SC,3.0,3.4,2.0,3.19,3.41,2.02,3.10,3.20,2.05
AL Wakrah,Al Rayyan SC,2.6,3.4,2.25,2.72,3.50,2.24,2.65,3.40,2.20
AL Tai,Al-Nassr FC Riyadh,12.0,7.0,1.2,11.00,7.20,1.15,,,
Al-Fayha FC,Al-Ittihad Jeddah,7.0,4.8,1.4,7.50,3.99,1.40,,,
Al-Hazem FC,Al Taawon Buraydah,5.5,4.33,1.53,5.10,4.10,1.51,4.90,4.20,1.55
Al Hilal Riyadh,Al Shabab Riyadh,1.27,6.0,9.0,,,,,,
Kazma SC,Al Jahra,1.77,3.6,3.6,,,,,,
Ajman Club,AL Ittihad Kalba,2.5,3.5,2.3,,,,,,
FC Baniyas,Emirates Club,1.8,3.7,3.4,,,,,,
Shabab Al-Ahli,Al-Wahda Abu Dhabi,1.91,3.4,3.25,,,,,,
Cavalry FC,Valour FC,1.61,3.6,4.5,1.68,3.59,4.40,,,
Vilaverdense FC,SL Benfica B,2.45,3.3,2.45,,,,2.40,3.25,2.60
Umraniyespor,Bandirmaspor,3.1,3.4,2.1,,,,,,
SC Telstar,Jong Ajax Amsterdam,2.15,3.7,2.75,,,,2.10,3.75,2.95
FC Groningen,FC Den Bosch,1.25,5.75,9.25,,,,1.26,5.80,9.00
De Graafschap,Roda JC,2.15,3.6,2.85,,,,2.23,3.70,2.85
SC Cambuur,Jong PSV Eindhoven,1.33,5.25,7.0,,,,1.32,5.50,7.50
FC Eindhoven,FC Dordrecht,1.83,3.6,3.6,,,,1.92,3.90,3.35
Jong AZ Alkmaar,Willem II Tilburg,3.3,3.4,2.0,,,,3.40,3.50,2.02
MVV Maastricht,ADO Den Haag,3.0,3.7,2.0,,,,3.15,3.75,2.02
TOP Oss,FC Emmen,4.1,3.8,1.69,,,,4.00,4.00,1.72
KMSK Deinze,KV Waasland-Beveren,2.3,3.4,2.55,,,,,,
Standard de Liege II SL16,Patro Eisden Maasmechelen,5.0,3.5,1.57,,,,4.70,3.85,1.66
CA Tigre,Velez Sarsfield,2.15,3.0,3.5,,,,,,
TSV Buchbach,DJK Vilzing,3.6,3.6,1.77,,,,,,
Viktoria Aschaffenburg,FC Memmingen,1.54,3.9,4.75,,,,,,
Wacker Burghausen,1 FC Nuremberg II,2.65,3.5,2.2,,,,,,
BSG Chemie Leipzig,VSG Altglienicke,3.3,3.5,1.83,,,,,,
Hertha BSC II,SV Babelsberg,1.83,3.7,3.25,,,,,,
FSV Luckenwalde,1. FC Lokomotive Leipzig,2.6,3.4,2.2,,,,,,
Eintracht Frankfurt II,TSG Balingen 1848,1.53,4.1,4.5,,,,,,
FC-Astoria Walldorf,Kickers Offenbach,4.33,3.9,1.57,,,,,,
SSVg Velbert,Wuppertaler SV,3.7,3.7,1.71,,,,,,
FC Wegberg-Beeck,SV Rodinghausen,4.75,3.6,1.61,,,,,,
Inter Milan U19,Torino FC U19,1.91,3.5,3.2,1.91,3.65,3.31,,,
Pacos Ferreira U19,FC Famalicao U19,4.1,3.6,1.67,4.10,3.75,1.70,,,
CSD Flandria,Guillermo Brown,2.3,3.0,3.0,,,,2.30,3.00,3.00
Quilmes AC,Tristan Suarez,1.87,3.3,3.8,1.89,3.29,3.74,,,
Sportivo Penarol San Juan,CA Juventud Unida Universitario San Luis,3.9,3.2,1.8,,,,,,
Avai FC SC,Sport Club do Recife PE,3.4,3.0,2.1,,,,,,
EC Vitoria Salvador BA,Tombense FC MG,1.61,3.5,5.5,1.62,3.53,6.00,,,
Hillerod Fodbold,AC Horsens,2.75,3.5,2.25,,,,2.70,3.50,2.35
Vendsyssel FF,Aalborg BK,4.1,3.8,1.69,,,,4.75,3.75,1.66
FC Liefering,DSV Leoben,2.25,3.6,2.7,,,,,,
SV Ried,SV Horn,1.54,4.2,4.8,,,,,,
FC Dornbirn,SV Stripfing,2.85,3.5,2.15,,,,,,
SKN St. Polten,Grazer AK,2.15,3.4,2.9,,,,,,
Spartak Myjava,MSK Zilina B,1.74,3.7,3.6,,,,,,
Sporting Club Bengaluru,Kickstart FC,1.8,3.7,3.3,,,,,,
Pyramids FC,APR FC,1.29,5.25,7.25,1.17,5.10,21.00,,,
Al-Ahly SC EGY,Kidus Giorgis,1.11,7.25,18.0,,,,,,
Orlando Pirates FC,Jwaneng Galaxy,1.48,3.7,5.75,,,,,,
Supersport United,Gaborone United,1.27,4.4,11.0,,,,,,
Kirivong Sok Sen Chey FC,ISI Dangkor Senchey FC,2.3,3.8,2.35,2.28,4.10,2.38,,,
Boeung Ket Angkor FC,Nagaworld FC,2.45,3.5,2.35,2.36,3.90,2.38,,,
FC Wil 1900,FC Aarau,1.95,3.5,3.1,,,,,,
Neuchatel Xamax,FC Sion,2.9,3.4,2.05,,,,,,
Waterford FC,Wexford FC,1.36,4.5,6.5,,,,,,
Bray Wanderers AFC,Cobh Ramblers,2.35,3.4,2.45,,,,,,
Galway United FC,Athlone Town AFC,1.25,5.25,9.25,,,,,,
Finn Harps FC,Kerry FC,1.48,4.1,5.25,,,,,,
1. FK Pribram,MFK Chrudim,1.91,3.4,3.2,1.98,3.60,3.14,,,
Hellenic AC,Casuarina FC,1.36,5.0,6.0,,,,,,
Mindil Aces FC,Darwin Olympic SC,1.69,4.2,3.5,,,,,,
Polonia Warszawa,Podbeskidzie Bielsko-Biała,2.85,3.3,2.25,,,,,,
MKS Arka Gdynia,LKP Motor Lublin,1.77,3.6,3.9,,,,1.70,3.60,4.00
Fujieda MYFC,Shimizu S-Pulse,5.0,4.4,1.44,5.70,4.30,1.45,,,
Vegalta Sendai,Roasso Kumamoto,2.3,3.25,2.6,2.44,3.27,2.60,,,
Ventforet Kofu,Mito Hollyhock,2.2,3.2,2.8,2.17,3.18,3.07,,,
FC Anyang,Seongnam Ilhwa,1.91,3.3,3.4,1.96,3.31,3.50,,,
Hamilton Academical FC,Annan Athletic FC,1.33,4.8,6.75,,,,1.33,4.90,6.75
Barito Putera,RANS Nusantara FC,1.69,3.6,4.0,1.73,3.65,4.00,,,
Bali United FC,Persikabo 1973,1.4,4.4,5.5,1.44,4.33,5.70,,,
Sulut United,Persewar,2.15,3.0,3.1,,,,,,
CSM Ceahlaul Piatra Neamt,FC Unirea Dej,1.74,3.25,4.1,1.82,3.47,4.33,1.79,3.35,3.95
Arabe Unido,CA Independiente de La Chorrera,3.1,2.95,2.2,3.18,2.99,2.22,,,
Gualaceo SC,CD Cuenca,2.7,3.1,2.3,2.74,3.01,2.37,,,
USM Khenchela,JS Kabylie,2.05,2.8,3.6,1.94,2.76,4.50,2.00,2.80,3.85
US Souf,MC Oran,2.4,2.8,2.8,2.43,2.73,3.10,2.50,2.80,2.85
NC Magra,US Biskra,1.91,3.0,3.7,1.97,2.80,4.30,,,
Khaan Khuns-Erchim,Falcons,4.33,3.4,1.69,,,,,,
FK Alga Bishkek,Abdish-Ata,2.7,3.4,2.15,2.73,3.86,2.10,,,
Dordoi Bishkek,Kara-Balta,1.06,10.5,26.0,1.04,12.00,17.00,,,
FC Ararat-Armenia,Ararat Yerevan FC,1.33,4.6,7.0,1.34,5.10,8.80,,,
FC Pyunik Yerevan,FC Alashkert Yerevan,1.71,3.5,4.0,,,,,,
FC Minsk,Energetik BGU Minsk,1.83,3.3,3.6,,,,,,
Busaiteen,East Riffa,2.38,3.0,2.75,,,,,,
Al-Muharraq SC,Al-Khalidiyah,2.75,3.0,2.35,,,,,,
Al-Ahli SC Manama,Sitra Club,2.65,2.9,2.5,,,,,,
Qarabag FK,Sumgayit FK,1.25,5.0,9.5,,,,,,
Boyaca Patriotas,Fortaleza FC,2.2,2.95,3.0,,,,,,
UTC de Cajamarca,Sport Boys Association,1.44,3.9,5.75,,,,,,
Sport Huancayo,Deportivo Municipal,1.12,8.0,13.5,,,,,,
Cusco FC,Sporting Cristal,2.7,3.0,2.35,,,,,,
DPMM,Tampines Rovers FC,5.5,4.8,1.4,5.60,5.10,1.37,,,
Albirex Niigata Singapore FC,Geylang International FC,1.2,6.25,8.75,1.21,6.00,9.40,,,
BG Pathum United FC,Lamphun Warrior,1.48,3.8,5.75,1.47,4.10,5.50,,,
Bangkok United,Buriram United FC,2.5,3.2,2.45,2.70,3.21,2.39,,,
Nakhon Si United,Chainat FC,1.4,3.8,6.75,1.42,3.95,7.00,,,
FC Vysocina Jihlava U19,Slavia Prague U19,3.25,3.75,1.83,,,,,,
Dukla Prague U19,FC Zbrojovka Brno U19,2.45,3.9,2.2,,,,,,
Istanbul Basaksehir U19,Ankaraspor U19,1.53,3.9,5.0,1.54,4.33,4.60,,,
MO Constantine U21,IB Khemis El Khechna U21,1.54,3.6,5.0,2.87,3.14,2.31,,,
MC El Eulma U21,AS Ain Mlila U21,1.8,3.25,3.9,,,,,,
